dataset,pub,type,num,url
idh_im-activities,idh_im,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/idh_im-activities.xml"
idh-org,idh,organisations,2,"https://aidstream.s3.us-west-2.amazonaws.com/xml/idh-org.xml"
idi-activities,idi,activities,8,"https://aidstream.s3.us-west-2.amazonaws.com/xml/idi-activities.xml"
idinsight-activities,idinsight,activities,3,"https://aidstream.s3.us-west-2.amazonaws.com/xml/idinsight-activities.xml"
idinsight-org,idinsight,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/idinsight-org.xml"
idi-org,idi,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/idi-org.xml"
idlo-activities,idlo,activities,233,"https://aidstream.s3.us-west-2.amazonaws.com/xml/idlo-activities.xml"
idlo-org,idlo,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/idlo-org.xml"
idom_mx-activities,idom_mx,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/idom_mx-activities.xml"
idp-activities,idp,activities,8,"https://aidstream.s3.us-west-2.amazonaws.com/xml/idp-activities.xml"
idp-org,idp,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/idp-org.xml"
idrccrdi-act-active,idrccrdi,activities,1232,"https://www.idrc.ca/sites/default/files/2022-12/idrc_iati_activities_Active.xml"
idrccrdi-act-closed-2009-2015,idrccrdi,activities,214,"https://www.idrc.ca/sites/default/files/2022-12/idrc_iati_activities_Closed_2009-01-01_2015-03-31.xml"
idrccrdi-act-closed-2015-2016,idrccrdi,activities,160,"https://www.idrc.ca/sites/default/files/2022-12/idrc_iati_activities_Closed_2015-04-01_2016-03-31.xml"
idrccrdi-act-closed-2016-2017,idrccrdi,activities,251,"https://www.idrc.ca/sites/default/files/2022-12/idrc_iati_activities_Closed_2016-04-01_2017-03-31.xml"
idrccrdi-act-closed-2017-2018,idrccrdi,activities,386,"https://www.idrc.ca/sites/default/files/2022-12/idrc_iati_activities_Closed_2017-04-01_2018-03-31.xml"
idrccrdi-act-closed-2018-2019,idrccrdi,activities,449,"https://www.idrc.ca/sites/default/files/2022-12/idrc_iati_activities_Closed_2018-04-01_2019-03-31.xml"
idrccrdi-act-closed-2019-2020,idrccrdi,activities,509,"https://www.idrc.ca/sites/default/files/2022-12/idrc_iati_activities_Closed_2019-04-01_2020-03-31.xml"
idrccrdi-act-closed-2020-2021,idrccrdi,activities,337,"https://www.idrc.ca/sites/default/files/2022-12/idrc_iati_activities_Closed_2020-04-01_2021-03-31.xml"
idrccrdi-act-closed-2021-2022,idrccrdi,activities,330,"https://www.idrc.ca/sites/default/files/2022-12/idrc_iati_activities_Closed_2021-04-01_2022-03-31.xml"
idrccrdi-org,idrccrdi,organisations,1,"https://www.idrc.ca/sites/default/files/2022-12/idrc_iati_organization.xml"
ids-activities,ids,activities,23,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ids-activities.xml"
ids-org,ids,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ids-org.xml"
idydc-activities,idydc,activities,4,"https://aidstream.s3.us-west-2.amazonaws.com/xml/idydc-activities.xml"
idydc-org,idydc,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/idydc-org.xml"
ieu-289,ieu,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ieu-289.xml"
ieu-298,ieu,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ieu-298.xml"
ieu-4105,ieu,activities,1,"https://aidstream.org/files/xml/ieu-998.xml"
ieu-589,ieu,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ieu-589.xml"
ieu-619,ieu,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ieu-619.xml"
ieu-798,ieu,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ieu-798.xml"
ieu-998,ieu,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ieu-998.xml"
ieu-cd,ieu,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ieu-cd.xml"
ieu-ke,ieu,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ieu-ke.xml"
ieu-mm,ieu,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ieu-mm.xml"
ieu-org,ieu,organisations,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ieu-org.xml"
ieu-th,ieu,activities,1,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ieu-th.xml"
ifac-activities,ifac,activities,18,"https://aidstream.s3.us-west-2.amazonaws.com/xml/ifac-activities.xml"
